
user_id,avg_payment_delay,max_payment_delay,std_payment_delay,avg_payment_ratio,min_payment_ratio,avg_utilization,max_utilization,default_flag,income_band,age_group,income_low,income_medium,income_high,age_18_25,age_26_35,age_36_50,age_51_plus
user_1,0.8333333333333334,5,3.7638632635454052,0.5589350848567588,0.10528640848181417,0.3437233333333333,0.581,0,medium,51+,0,1,0,0,0,0,1
user_10,2.5,5,2.7386127875258306,0.8448111193509966,0.06886671610597991,0.15901166666666666,0.29666,0,high,36-50,0,0,1,0,0,1,0
user_12,15.208333333333334,120,26.353745986789654,0.5177695560238569,0.04720526068576797,0.10435708333333334,0.26184,1,medium,18-25,0,1,0,1,0,0,0
user_14,0.0,5,4.47213595499958,0.843291361479165,0.05974816887498971,0.06313416666666667,0.10064,0,medium,18-25,0,1,0,1,0,0,0
user_15,4.444444444444445,30,10.416176459053668,0.7150036130650497,0.06786724214912933,0.15585166666666667,0.2881,0,low,51+,1,0,0,0,0,0,1
user_16,0.0,5,4.472135954999579,0.5652200205206089,0.10803756059527442,0.18822833333333333,0.29499,0,high,18-25,0,0,1,1,0,0,0
user_17,-1.6666666666666667,0,2.581988897471611,1.0,1.0,0.16760166666666665,0.28945,0,medium,26-35,0,1,0,0,1,0,0
user_18,1.6666666666666667,30,9.37436866561092,0.6900147418542141,0.0557624460995688,0.18391458333333333,0.54666,0,low,18-25,1,0,0,1,0,0,0
user_19,16.666666666666668,120,34.85902343944126,0.47899081639430685,0.050501977487070276,0.23415,0.57286,1,medium,18-25,0,1,0,1,0,0,0
user_2,-1.3888888888888888,5,3.345565790343442,0.8469449330703475,0.05330375747798615,0.2390233333333333,0.55014,0,high,26-35,0,0,1,0,1,0,0
user_20,13.333333333333334,60,17.10041644008246,0.4577161921085457,0.0714162942591956,0.28456583333333335,0.567,1,high,26-35,0,0,1,0,1,0,0
user_3,0.0,0,0.0,1.0,1.0,0.09215833333333334,0.23238,0,high,36-50,0,0,1,0,0,1,0
user_4,-2.5,5,4.183300132670378,1.0,1.0,0.17109166666666667,0.24788,0,high,26-35,0,0,1,0,1,0,0
user_5,9.166666666666666,15,6.645800679125629,0.11347305135082286,0.07557973089035214,0.073535,0.11647,1,low,51+,1,0,0,0,0,0,1
user_6,-0.8333333333333334,5,4.915960401250875,1.0,1.0,0.07423166666666667,0.146595,0,high,26-35,0,0,1,0,1,0,0
user_7,7.222222222222222,60,16.199330253241794,0.49454985528994644,0.08226399389609489,0.11891416666666668,0.29312,1,medium,26-35,0,1,0,0,1,0,0
user_9,0.4166666666666667,5,3.964807305493795,0.6907773942905284,0.0570421798136971,0.14352833333333334,0.29122,0,low,36-50,1,0,0,0,0,1,0
